Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
83,2,2023-06-30 23:58:41,2023-07-01 00:42:43,1.0,13.93,1.0,N,132,129,1,61.8,1.0,0.5,12.86,0.0,1.0,78.91,0.0,1.75,
84,2,2023-06-30 23:58:41,2023-07-01 00:10:36,1.0,2.01,1.0,N,186,113,1,13.5,1.0,0.5,4.62,0.0,1.0,23.12,2.5,0.0,
85,1,2023-06-30 23:58:41,2023-07-01 00:12:09,1.0,2.4,1.0,N,48,90,1,13.5,3.5,0.5,3.7,0.0,1.0,22.2,2.5,0.0,
86,1,2023-06-30 23:58:40,2023-07-01 00:08:18,2.0,1.5,1.0,N,249,144,1,10.7,3.5,0.5,0.0,0.0,1.0,15.7,2.5,0.0,
87,2,2023-06-30 23:58:40,2023-07-01 00:14:44,1.0,2.88,1.0,N,107,48,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,
88,2,2023-06-30 23:58:40,2023-07-01 00:16:43,1.0,10.17,1.0,N,138,144,1,40.1,6.0,0.5,12.96,0.0,1.0,64.81,2.5,1.75,
89,2,2023-06-30 23:58:39,2023-07-01 00:13:03,1.0,1.94,1.0,N,107,230,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,
90,1,2023-06-30 23:58:37,2023-07-01 00:04:18,2.0,1.3,1.0,N,79,137,1,7.9,3.5,0.5,2.6,0.0,1.0,15.5,2.5,0.0,
91,2,2023-06-30 23:58:36,2023-07-01 00:45:49,3.0,19.49,2.0,N,132,48,1,70.0,0.0,0.5,20.14,6.55,1.0,102.44,2.5,1.75,
92,1,2023-06-30 23:58:34,2023-07-01 00:26:31,1.0,7.3,1.0,N,162,69,2,33.8,3.5,0.5,0.0,0.0,1.0,38.8,2.5,0.0,
93,2,2023-06-30 23:58:33,2023-07-01 00:04:41,2.0,1.44,1.0,N,142,238,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0,
94,2,2023-06-30 23:58:33,2023-07-01 00:15:24,1.0,8.73,1.0,N,138,170,1,34.5,6.0,0.5,10.56,6.55,1.0,63.36,2.5,1.75,
95,1,2023-06-30 23:58:33,2023-07-01 00:05:09,1.0,1.9,1.0,N,142,166,2,10.0,3.5,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
96,2,2023-06-30 23:58:32,2023-07-01 00:21:48,1.0,9.67,1.0,N,107,257,1,39.4,1.0,0.5,10.19,6.55,1.0,61.14,2.5,0.0,
97,2,2023-06-30 23:58:30,2023-07-01 00:54:14,1.0,35.2,2.0,N,132,246,1,70.0,0.0,0.5,20.0,6.55,1.0,102.3,2.5,1.75,
98,2,2023-06-30 23:58:29,2023-07-01 00:05:39,1.0,1.76,1.0,N,148,137,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,
99,1,2023-06-30 23:58:29,2023-07-01 00:06:35,1.0,1.7,1.0,N,144,137,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0,
100,2,2023-06-30 23:58:28,2023-07-01 00:13:06,1.0,3.5,1.0,N,163,166,1,19.1,1.0,0.5,6.02,0.0,1.0,30.12,2.5,0.0,
101,2,2023-06-30 23:58:28,2023-07-01 00:09:24,1.0,1.12,1.0,N,230,162,1,11.4,1.0,0.5,2.6,0.0,1.0,19.0,2.5,0.0,
102,1,2023-06-30 23:58:28,2023-07-01 00:27:34,1.0,12.8,1.0,N,163,250,1,50.6,3.5,0.5,13.9,0.0,1.0,69.5,2.5,0.0,
103,1,2023-06-30 23:58:27,2023-07-01 00:03:33,1.0,0.8,1.0,N,137,170,2,7.2,3.5,0.5,0.0,0.0,1.0,12.2,2.5,0.0,
104,2,2023-06-30 23:58:27,2023-07-01 00:19:13,1.0,11.05,1.0,N,138,144,1,42.9,6.0,0.5,10.58,0.0,1.0,65.23,2.5,1.75,
105,2,2023-06-30 23:58:26,2023-07-01 00:10:04,1.0,2.03,1.0,N,229,143,1,12.8,1.0,0.5,4.45,0.0,1.0,22.25,2.5,0.0,
106,1,2023-06-30 23:58:26,2023-07-01 00:08:45,1.0,1.0,1.0,N,45,79,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0,
107,2,2023-06-30 23:58:25,2023-07-01 00:06:00,1.0,0.62,1.0,N,246,48,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0,
108,2,2023-06-30 23:58:24,2023-07-01 00:08:20,2.0,2.1,1.0,N,249,87,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,
109,1,2023-06-30 23:58:22,2023-07-01 00:13:20,1.0,3.5,1.0,N,229,7,1,17.7,3.5,0.5,4.5,0.0,1.0,27.2,2.5,0.0,
110,1,2023-06-30 23:58:21,2023-07-01 00:01:17,1.0,0.6,1.0,N,238,151,1,5.1,1.0,0.5,1.0,0.0,1.0,8.6,0.0,0.0,
111,2,2023-06-30 23:58:21,2023-07-01 00:01:44,4.0,0.69,1.0,N,234,68,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,
112,2,2023-06-30 23:58:21,2023-07-01 00:06:01,,2.65,,,107,140,0,15.43,0.0,0.5,8.0,0.0,1.0,27.43,,,
113,2,2023-06-30 23:58:20,2023-07-01 00:01:46,2.0,0.83,1.0,N,141,229,1,5.8,1.0,0.5,1.0,0.0,1.0,11.8,2.5,0.0,
114,2,2023-06-30 23:58:20,2023-07-01 00:34:26,1.0,14.38,1.0,N,132,129,2,60.4,1.0,0.5,0.0,0.0,1.0,64.65,0.0,1.75,
115,2,2023-06-30 23:58:19,2023-07-01 00:10:13,1.0,3.31,1.0,N,230,75,1,15.6,1.0,0.5,0.0,0.0,1.0,20.6,2.5,0.0,
116,2,2023-06-30 23:58:19,2023-07-01 00:01:18,2.0,1.02,1.0,N,229,263,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,
